iso_country,iata_code,ident,name,municipality,elevation_ft,type,gps_code,coordinates
RU,UUS,UHSS,Yuzhno-Sakhalinsk Apt.,Yuzhno-Sakhalinsk,59,medium_airport,UHSS,"46.885461, 142.717466"
RU,AEM,UHTG,Amgu Apt.,Amgu,10,small_airport,UHTG,"45.84126, 137.673568"
RU,ETL,UHTQ,Svetlaya Apt.,Svetlaya,131,small_airport,UHTQ,"46.541704, 138.321703"
RU,EDN,UHWE,Yedinka Apt.,Yedinka,98,small_airport,UHWE,"47.178201, 138.657357"
RU,KVR,UHWK,Kavalerovo Apt.,Kavalerovo,730,small_airport,UHWK,"44.2726, 135.029"
RU,TLY,UHWP,Plastun Apt.,Plastun,66,small_airport,UHWP,"44.814999, 136.292007"
RU,NEI,UHWT,Terney Apt.,Terney,33,small_airport,UHWT,"45.0825, 136.5912"
RU,VVO,UHWW,Vladivostok Intl. Apt.,Artyom,59,large_airport,UHWW,"43.396256, 132.148155"
RU,HTA,UIAA,Chita-Kadala Intl. Apt.,Chita,2272,medium_airport,UIAA,"52.026299, 113.306"
RU,CZR,UIAR,Chara Apt.,Chara,2201,small_airport,UIAR,"56.913334, 118.269997"
RU,BTK,UIBB,Bratsk Apt.,Bratsk,1610,medium_airport,UIBB,"56.370601654052734, 101.697998046875"
RU,UIK,UIBS,Ust-Ilimsk Apt.,Ust-Ilimsk,1339,small_airport,UIBS,"58.136101, 102.565002"
RU,IKT,UIII,Irkutsk Intl. Apt.,Irkutsk,1675,medium_airport,UIII,"52.268002, 104.389"
RU,ODO,UIKB,Bodaybo Apt.,Bodaybo,919,small_airport,UIKB,"57.866100311299995, 114.242996216"
RU,ERG,UIKE,Yerbogachen Apt.,Erbogachen,400,small_airport,UIKE,"61.2750015259, 108.029998779"
RU,KCK,UIKK,Kirensk Apt.,Kirensk,840,small_airport,UIKK,"57.773, 108.064"
RU,RZH,UIKP,Preobrazheniye Apt.,Preobrazheniye,34,small_airport,UHTR,"42.921698, 133.904438"
RU,UKX,UITT,Ust-Kut Apt.,Ust-Kut,2188,medium_airport,UITT,"56.856701, 105.730003"
RU,NZG,UIUN,Nizhneangarsk Intl. Apt.,Nizhneangarsk,1545,small_airport,UIUN,"55.8008, 109.595001"
RU,UUD,UIUU,Baikal Intl. Apt.,Ulan Ude,1690,medium_airport,UIUU,"51.808614, 107.439652"
KR,UJN,UJN,Uljin Apt.,Bongsan-ri - Uljin,191,small_airport,RKTL,"36.777049, 129.461861"
UA,KBP,UKBB,Boryspil Intl. Apt.,Boryspil,427,large_airport,UKBB,"50.345001, 30.894699"
UA,KRQ,UKCK,Kramatorsk Apt.,Kramatorsk,646,small_airport,UKCK,"48.706799, 37.630922"
UA,MPW,UKCM,Mariupol Intl. Apt.,Mariupol,251,medium_airport,UKCM,"47.07609939575195, 37.44960021972656"
UA,ERD,UKDB,Berdyansk Apt.,Berdyansk,171,medium_airport,UKDB,"46.814999, 36.758099"
UA,DNK,UKDD,Dnipro Intl. Apt.,Dnipro,481,medium_airport,UKDD,"48.357201, 35.100601"
UA,OZH,UKDE,Zaporizhzhia Intl. Apt.,Zaporizhia,373,medium_airport,UKDE,"47.867000579833984, 35.31570053100586"
